"SampleID","concentration","anisole","heptanone","pentanone"
"250318_132132.mea",10,1012.98115475536,1208.56115670598,4327.31405144996
"250318_142630.mea",30,1593.15104731133,2127.1886401497,4819.43544921947
"250318_163632.mea",0,21.8577995605082,356.800040191365,4075.96503810024
"250318_174132.mea",20,1462.17064887945,2019.04380382862,4913.89510911336
"250318_184633.mea",5,642.603599512541,952.594496004006,4319.40612993029
"250319_234908.mea",10,917.854438068236,1551.67455407996,4703.62482193613
"250320_005407.mea",30,1701.01195829789,2635.48629077266,5333.15709046397
"250320_030407.mea",0,28.6889394985472,441.514126582593,4137.53561524411
"250320_040907.mea",20,1470.86445892244,2196.98434701561,5051.06507619466
"250320_051407.mea",5,633.456128282744,1078.48415524108,4384.49444446743
"250320_131223.mea",10,1056.61215590171,1583.66919738554,4462.01948994692
"250320_141723.mea",30,1701.99298473434,2615.09866627755,5144.28837860275
"250320_162726.mea",0,22.5670689279772,415.834225290131,4084.30619407606
"250320_173226.mea",20,1491.09989662049,2179.76005436708,4803.96422697989
"250320_183727.mea",5,625.216458064357,1030.72276315874,3852.66721695733
"250326_213440.mea",5,630.176760791128,1003.31183410743,3861.89677170736
"250326_223939.mea",20,1450.68261979439,2163.29402006762,4900.57721104089
"250327_130210.mea",0,26.4604659118471,522.137899977374,4662.12624563679
"250327_140707.mea",10,823.951619867333,1388.82516018365,5362.55133752665
"250327_151205.mea",15,971.331457930384,1766.04657180689,5902.07866110575
"250318_153132.mea",7.5,844.773047032598,1134.27067588641,4367.75363215771
"250318_195135.mea",15,1302.60316596709,1810.33098507993,4647.49993996863
"250320_015906.mea",7.5,866.134797369559,1276.89202096596,4302.69980889565
"250320_061907.mea",15,1274.12192943978,1937.71738255435,4893.59125373806
"250320_152224.mea",7.5,870.584033219672,1346.23613987012,4340.51268520303
"250320_194227.mea",15,1179.04357911742,1750.36945892987,4396.25191453864
"250326_202940.mea",7.5,838.902432079033,1210.47489070205,4422.73660042059
"250327_120003.mea",30,1520.49118624182,2466.19859406905,5852.32624764829
