"SampleID","concentration","anisole","heptanone","pentanone"
"250320_204727.mea",10,1094.8212548943,1446.35096992586,4078.70832805011
"250320_215227.mea",30,1772.35965275879,2687.14152588432,4986.06544334489
"250321_000226.mea",0,23.7131982330133,137.547745249924,3776.63365493051
"250321_010724.mea",20,1540.81054883457,2188.68457911658,4623.97297185704
"250321_021224.mea",5,687.502952205328,939.175677186369,4212.73963268452
"250328_020716.mea",5,666.763758713091,890.265077683749,4191.78453767051
"250328_031213.mea",20,1497.10174869178,2188.08503419722,4757.37222943608
"250328_052208.mea",30,1766.43222021504,2671.04756753426,5090.34037315373
"250328_062704.mea",0,24.8633397619843,146.212939649232,4002.43619880236
"250328_073203.mea",10,1079.45043910682,1419.59939089966,4478.36820862049
"250331_143947.mea",0,24.1760497236882,123.430359386159,3748.01536228927
"250331_154444.mea",5,723.815387744087,811.245876510222,3753.46036159827
"250331_164943.mea",10,1100.12839638445,1440.20080562508,4142.23720248824
"250331_185937.mea",20,1540.41655103823,2165.71905651092,4688.47883308277
"250331_200434.mea",30,1809.31804810379,2678.10461595921,4951.28129181543
"250320_225725.mea",7.5,889.390092090408,1236.62455753967,4229.77674412479
"250321_031725.mea",15,1325.89300988455,1887.77538681248,4503.75138833763
"250328_010218.mea",7.5,884.929394505026,1199.55791138381,4325.14338068577
"250328_041710.mea",15,1331.16834883208,1807.84486171005,4597.5162211958
"250331_133450.mea",15,1361.80328145809,1791.56691720212,4383.85494133912
"250331_175441.mea",7.5,896.838167258491,1042.79610060754,4010.5873164116
